user_id,condition,name,age,gender,occupation,education,familiar_with_diabetes,main_No Knowledge,"main_I have used AI systems such as chatgpt, midjourney etc.",main_I understand basic AI concepts,main_I understand advanced AI concepts,main_I am an AI researcher,main_I am an AI developer,pre_ChatGPT,pre_Claude.ai,pre_Perplexity,pre_Pi,pre_MidJourney,pre_Writing assistance and editing,pre_Problem-solving and brainstorming,pre_Language translation and explanation,pre_Math and coding,pre_Summarizing long texts or articles,pre_Explaining complex concepts in simpler terms,pre_Answering questions,pre_Providing general advice,pre_Help with making decisions,pre_Image generation,pre_Video generation,pre_frequency,pre_satisfaction,pre_complexity,pre_understand,pre_reliability,pre_trust,pre_accurate,pre_future,pre_use_others,pre_purpose_others,1_1,1_2,1_3,2_1,2_2,2_3,3_1,3_2,3_3,4_1,4_2,4_3,5_1,5_2,5_3,6_1,6_2,6_3,7_1,7_2,7_3,8_1,8_2,8_3,9_1,9_2,9_3,10_1,10_2,10_3,11_1,11_2,11_3,12_1,12_2,12_3,13_1,13_2,13_3,14_1,14_2,14_3,15_1,15_2,15_3,16_1,16_2,16_3,17_1,17_2,17_3,18_1,18_2,18_3,19_1,19_2,19_3,20_1,20_2,20_3,post_condition_satisfaction,post_condition_satisfaction_2,post_condition_text,post_satisfaction,post_complexity,post_reliability,post_accurate,post_base_question,post_challenge,post_open,post_use,post_confi,post_understand_condition,post_consistent,post_demanding,post_easier,post_mental_demanding,post_autonomy,post_trust,post_confident,post_notice,post_help_final,post_increase_trust,post_comfortable,post_like_use,post_trust_change,21,21_2,21_3,22,22_2,22_3,23,23_2,23_3,24,24_2,24_3,25,25_2,25_3,26,26_2,26_3,27,27_2,27_3,28,28_2,28_3,29,29_2,29_3,30,30_2,30_3,31,31_2,31_3,32,32_2,32_3,33,33_2,33_3,34,34_2,34_3,35,35_2,35_3,36,36_2,36_3,37,37_2,37_3,38,38_2,38_3,39,39_2,39_3,40,40_2,40_3,gpt_cl_estimation_1,gpt_cl_estimation_2,gpt_cl_estimation_3,gpt_cl_estimation_4,gpt_cl_estimation_5,gpt_cl_estimation_6,gpt_cl_estimation_7,gpt_cl_estimation_8,gpt_cl_estimation_9,gpt_cl_estimation_10,gpt_cl_estimation_11,gpt_cl_estimation_12,gpt_cl_estimation_13,gpt_cl_estimation_14,gpt_cl_estimation_15,gpt_cl_estimation_16,gpt_cl_estimation_17,gpt_cl_estimation_18,gpt_cl_estimation_19,gpt_cl_estimation_20,self_cl_1,ai_cl_1,self_cl_2,ai_cl_2,self_cl_3,ai_cl_3,self_cl_4,ai_cl_4,self_cl_5,ai_cl_5,self_cl_6,ai_cl_6,self_cl_7,ai_cl_7,self_cl_8,ai_cl_8,self_cl_9,ai_cl_9,self_cl_10,ai_cl_10,self_cl_11,ai_cl_11,self_cl_12,ai_cl_12,self_cl_13,ai_cl_13,self_cl_14,ai_cl_14,self_cl_15,ai_cl_15,self_cl_16,ai_cl_16,self_cl_17,ai_cl_17,self_cl_18,ai_cl_18,self_cl_19,ai_cl_19,self_cl_20,ai_cl_20,1_ai,1_gt,2_ai,2_gt,3_ai,3_gt,4_ai,4_gt,5_ai,5_gt,6_ai,6_gt,7_ai,7_gt,8_ai,8_gt,9_ai,9_gt,10_ai,10_gt,11_ai,11_gt,12_ai,12_gt,13_ai,13_gt,14_ai,14_gt,15_ai,15_gt,16_ai,16_gt,17_ai,17_gt,18_ai,18_gt,19_ai,19_gt,20_ai,20_gt
P2,6,P2,31,Man,RBT,High school degree,3,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,&gt;20,5,6,6,6,5,5,5,,,True,True,True,False,True,False,True,False,True,True,True,True,False,True,False,True,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,False,False,False,True,True,False,5,,I used it to reflect,5,5,5,5,5,Some AI Choices did not seem obvious,I used it to reflect,6,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,Meal 2,,,Meal 2,,,,,,,,,,,,,,,,,,Meal 1,,,Meal 1,,,,,,,,,,,,,,,,,,Meal 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Meal 1,True,Meal 2,True,Meal 2,True,Meal 1,True,Meal 2,False,Meal 2,True,Meal 1,False,Meal 1,True,Meal 2,True,Meal 2,True,Meal 2,True,Meal 2,False,Meal 1,True,Meal 2,True,Meal 1,False,Meal 2,True,Meal 1,True,Meal 1,True,Meal 2,True,Meal 2
P6,6,P6,32,Man,it,High school degree,6,False,False,False,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,&gt;20,7,6,7,7,7,7,1,,,False,False,False,True,True,True,False,True,False,False,False,False,True,True,True,True,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,False,False,False,True,True,False,False,True,False,False,False,False,True,True,True,True,True,True,6,,I went with my gut!,4,5,5,6,5,I thought it was tough to tell which  would be better sometimes.,I went with my gut!,1,5,5,5,5,5,6,5,5,6,5,5,6,5,6,5,Meal 2,,,Meal 2,,,,,,,,,,,,,,,,,,Meal 1,,,Meal 1,,,,,,,,,,,,,,,,,,Meal 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Meal 1,True,Meal 2,True,Meal 2,True,Meal 1,True,Meal 2,False,Meal 2,True,Meal 1,False,Meal 1,True,Meal 2,True,Meal 2,True,Meal 2,True,Meal 2,False,Meal 1,True,Meal 2,True,Meal 1,False,Meal 2,True,Meal 1,True,Meal 1,True,Meal 2,True,Meal 2
P18,6,P18,35,Woman,Marketing ,College degree,7,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,True,False,True,False,False,False,1-4,6,6,7,5,6,5,6,,,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,False,True,False,True,True,True,False,True,True,True,False,True,True,False,True,5,,not much ,7,6,5,6,7,"Some of the meals were having carbohydrates in it so it was very difficult in choosing the type of meal
",not much ,5,6,4,5,6,5,6,6,5,6,6,6,6,5,6,4,Meal 2,,,Meal 1,,,,,,,,,,,,,,,,,,Meal 2,,,Meal 2,,,,,,,,,,,,,,,,,,Meal 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Meal 1,True,Meal 2,True,Meal 2,True,Meal 1,True,Meal 2,False,Meal 2,True,Meal 1,False,Meal 1,True,Meal 2,True,Meal 2,True,Meal 2,True,Meal 2,False,Meal 1,True,Meal 2,True,Meal 1,False,Meal 2,True,Meal 1,True,Meal 1,True,Meal 2,True,Meal 2
P4,6,P4,65,Woman,Unemployed,High school degree,2,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,True,True,False,1-4,7,7,7,7,7,7,7,,,True,False,True,True,True,False,True,True,True,True,True,True,True,False,True,False,False,False,True,False,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,True,False,True,False,False,True,True,False,True,True,True,True,True,True,True,True,False,True,True,6,,"The bar chart helped give me visual ""faith"" in the AI",6,6,6,5,5,The most challenging part was having only images to rely on. Images with no text was not as helpful. ,"The bar chart helped give me visual ""faith"" in the AI",6,6,5,6,1,6,1,6,6,7,6,6,6,6,6,1,Meal 2,,,Meal 2,,,,,,,,,,,,,,,,,,Meal 1,,,Meal 2,,,,,,,,,,,,,,,,,,Meal 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Meal 1,True,Meal 2,True,Meal 2,True,Meal 1,True,Meal 2,False,Meal 2,True,Meal 1,False,Meal 1,True,Meal 2,True,Meal 2,True,Meal 2,True,Meal 2,False,Meal 1,True,Meal 2,True,Meal 1,False,Meal 2,True,Meal 1,True,Meal 1,True,Meal 2,True,Meal 2
P3,6,P3,28,Woman,Teacher,College degree,1,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,True,True,False,False,&lt;1,6,7,6,6,6,6,5,,,True,False,True,True,True,True,True,False,True,True,False,True,True,False,True,False,False,False,True,False,True,True,False,True,True,False,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False,True,False,False,True,False,True,True,True,False,True,False,False,True,False,True,True,True,5,,"I used it by seeing how many questions the AI got wrong. Once it started to get more wrong, and I got more right, I relied less on the AI when making some decisions. ",6,7,6,6,6,"The most challenging part of the task was seeing what some of the food options were on the plate. Sometimes I couldn't recognize what certain things were. Also, trying to compare the serving size on each plate when some meals were similar but some were larger/smaller.","I used it by seeing how many questions the AI got wrong. Once it started to get more wrong, and I got more right, I relied less on the AI when making some decisions. ",5,5,7,5,1,5,1,7,5,6,2,6,6,5,5,4,Meal 2,,,Meal 2,,,,,,,,,,,,,,,,,,Meal 2,,,Meal 2,,,,,,,,,,,,,,,,,,Meal 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Meal 1,True,Meal 2,True,Meal 2,True,Meal 1,True,Meal 2,False,Meal 2,True,Meal 1,False,Meal 1,True,Meal 2,True,Meal 2,True,Meal 2,True,Meal 2,False,Meal 1,True,Meal 2,True,Meal 1,False,Meal 2,True,Meal 1,True,Meal 1,True,Meal 2,True,Meal 2
P1,6,P1,47,Woman,User experience design,High school degree,5,False,True,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,True,True,False,True,False,1-4,5,6,6,4,5,5,4,,,True,True,True,True,True,True,True,True,True,True,True,True,False,True,False,True,False,True,True,False,True,False,True,False,True,True,True,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,6,,I just made sure that I wasn't wrong too frequently compared to the AI bot. ,7,7,7,7,7,The most challenging part was trying to tell exactly what was in the meals. ,I just made sure that I wasn't wrong too frequently compared to the AI bot. ,6,7,4,7,6,7,1,6,6,5,4,6,6,6,6,4,Meal 2,,,Meal 2,,,,,,,,,,,,,,,,,,Meal 1,,,Meal 1,,,,,,,,,,,,,,,,,,Meal 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Meal 1,True,Meal 2,True,Meal 2,True,Meal 1,True,Meal 2,False,Meal 2,True,Meal 1,False,Meal 1,True,Meal 2,True,Meal 2,True,Meal 2,True,Meal 2,False,Meal 1,True,Meal 2,True,Meal 1,False,Meal 2,True,Meal 1,True,Meal 1,True,Meal 2,True,Meal 2
P5,6,P5,24,Man,IT,College degree,6,False,False,False,True,False,False,True,False,False,False,True,True,True,True,True,True,True,True,True,True,True,False,17-20,6,6,6,6,6,6,6,,,True,True,True,True,True,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,True,True,False,False,False,True,False,True,True,True,True,True,False,True,True,True,True,False,True,False,True,False,True,True,False,True,False,True,False,False,True,False,True,False,True,5,,It did not,4,5,5,5,3,It was not challenging,It did not,4,4,4,4,6,4,5,5,4,5,3,3,3,3,3,3,Meal 1,,,Meal 2,,,,,,,,,,,,,,,,,,Meal 2,,,Meal 1,,,,,,,,,,,,,,,,,,Meal 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Meal 1,True,Meal 2,True,Meal 2,True,Meal 1,True,Meal 2,False,Meal 2,True,Meal 1,False,Meal 1,True,Meal 2,True,Meal 2,True,Meal 2,True,Meal 2,False,Meal 1,True,Meal 2,True,Meal 1,False,Meal 2,True,Meal 1,True,Meal 1,True,Meal 2,True,Meal 2
P7,6,P7,40,Woman,STAY AT HOME PARENT,High school degree,7,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,1-4,6,6,7,7,6,7,6,,,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,True,False,True,True,True,True,False,True,True,True,False,True,True,False,True,False,True,True,True,False,True,True,False,True,True,True,True,True,2,,I didnt really use the bar chart. I know a lot about diabetes.,7,7,7,7,5,Most of the questions we had the same answers. I didnt find it challenging at all. I know a lot about diabetes.,I didnt really use the bar chart. I know a lot about diabetes.,7,7,7,7,1,6,3,4,7,7,3,4,7,7,7,7,Meal 2,,,Meal 2,,,,,,,,,,,,,,,,,,Meal 1,,,Meal 1,,,,,,,,,,,,,,,,,,Meal 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Meal 1,True,Meal 2,True,Meal 2,True,Meal 1,True,Meal 2,False,Meal 2,True,Meal 1,False,Meal 1,True,Meal 2,True,Meal 2,True,Meal 2,True,Meal 2,False,Meal 1,True,Meal 2,True,Meal 1,False,Meal 2,True,Meal 1,True,Meal 1,True,Meal 2,True,Meal 2
P17,6,P17,20,Other...,n/a,College degree,1,False,True,True,True,False,False,True,False,False,True,True,True,True,False,True,False,False,False,False,True,False,False,&lt;1,3,5,5,4,5,6,6,,,True,True,True,False,True,False,False,False,False,False,True,False,False,True,False,True,True,True,False,True,False,False,False,True,True,True,True,False,False,True,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,True,False,True,True,True,False,False,False,True,False,True,7,,well mostly by looking at the AI's response ,5,6,7,6,5,well this was not that hard,well mostly by looking at the AI's response ,6,4,7,5,5,6,6,6,5,6,6,5,3,6,7,6,Meal 1,,,Meal 2,,,,,,,,,,,,,,,,,,Meal 1,,,Meal 1,,,,,,,,,,,,,,,,,,Meal 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Meal 1,True,Meal 2,True,Meal 2,True,Meal 1,True,Meal 2,False,Meal 2,True,Meal 1,False,Meal 1,True,Meal 2,True,Meal 2,True,Meal 2,True,Meal 2,False,Meal 1,True,Meal 2,True,Meal 1,False,Meal 2,True,Meal 1,True,Meal 1,True,Meal 2,True,Meal 2
P15,6,P15,39,Man,data analyst,High school degree,7,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,True,True,True,False,1-4,6,6,7,7,5,6,5,"Copilot, Aria",,True,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,False,True,True,False,True,True,False,True,True,True,True,False,False,False,True,True,True,False,True,False,True,False,True,False,True,True,False,True,False,True,True,True,True,True,True,False,True,True,True,True,True,6,,"To see how many the AI was getting right. If it had kept getting them all right, I most likely would've follow their picks.",6,6,5,6,7,Trying to tell what each food is on the plate.,"To see how many the AI was getting right. If it had kept getting them all right, I most likely would've follow their picks.",7,5,5,6,2,5,1,7,5,4,5,4,5,5,7,1,Meal 2,,,Meal 2,,,,,,,,,,,,,,,,,,Meal 2,,,Meal 2,,,,,,,,,,,,,,,,,,Meal 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Meal 1,True,Meal 2,True,Meal 2,True,Meal 1,True,Meal 2,False,Meal 2,True,Meal 1,False,Meal 1,True,Meal 2,True,Meal 2,True,Meal 2,True,Meal 2,False,Meal 1,True,Meal 2,True,Meal 1,False,Meal 2,True,Meal 1,True,Meal 1,True,Meal 2,True,Meal 2
P9,6,P9,44,Woman,Agency Services Specialist,High school degree,5,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True,True,True,False,False,False,1-4,6,6,6,6,6,6,6,,,True,False,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,False,True,True,True,True,False,False,True,True,True,True,False,True,False,False,True,True,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,7,,I didn't use the bar chart at all.  I didn't think it was necessary.,7,6,7,7,7,I didn't quite see the importance of the graph.  It seemed kind of redundant.,I didn't use the bar chart at all.  I didn't think it was necessary.,7,7,2,7,3,6,1,6,7,6,6,1,7,7,7,5,Meal 2,,,Meal 2,,,,,,,,,,,,,,,,,,Meal 2,,,Meal 1,,,,,,,,,,,,,,,,,,Meal 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Meal 1,True,Meal 2,True,Meal 2,True,Meal 1,True,Meal 2,False,Meal 2,True,Meal 1,False,Meal 1,True,Meal 2,True,Meal 2,True,Meal 2,True,Meal 2,False,Meal 1,True,Meal 2,True,Meal 1,False,Meal 2,True,Meal 1,True,Meal 1,True,Meal 2,True,Meal 2
P11,6,P11,31,Man,Chief Marketing Officer,High school degree,4,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,1-4,5,5,5,5,5,5,5,,Copywriting,True,False,True,False,True,True,True,True,True,True,True,True,False,True,True,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,True,True,True,True,False,False,False,False,True,True,True,True,False,True,False,True,True,True,True,True,True,False,True,True,True,False,True,6,,"I didn't really use it that much. I paid attention to it, but didn't find that it impacted my judgement that much.",6,6,6,5,5,I found it hard to figure out what some of the foods were. I think one way this could improved is if the various foods on the plate were labeled.,"I didn't really use it that much. I paid attention to it, but didn't find that it impacted my judgement that much.",5,5,4,4,4,4,3,6,5,5,4,2,4,4,4,3,Meal 2,,,Meal 2,,,,,,,,,,,,,,,,,,Meal 2,,,Meal 1,,,,,,,,,,,,,,,,,,Meal 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Meal 1,True,Meal 2,True,Meal 2,True,Meal 1,True,Meal 2,False,Meal 2,True,Meal 1,False,Meal 1,True,Meal 2,True,Meal 2,True,Meal 2,True,Meal 2,False,Meal 1,True,Meal 2,True,Meal 1,False,Meal 2,True,Meal 1,True,Meal 1,True,Meal 2,True,Meal 2
P13,6,P13,46,Woman,Internet Analyst,High school degree,6,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,1-4,5,6,5,5,6,5,4,,,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,True,False,True,False,True,False,True,False,True,True,True,True,False,False,False,True,True,True,False,False,False,False,False,True,False,True,False,False,True,False,True,True,True,True,True,True,False,True,True,True,True,True,7,,I trusted the AI more when I saw the bar charts and that it was getting most of the answers correct. ,6,6,6,6,7,I sometimes could not make out exactly what the food was,I trusted the AI more when I saw the bar charts and that it was getting most of the answers correct. ,6,6,7,6,3,7,1,7,6,5,1,6,7,6,6,6,Meal 2,,,Meal 2,,,,,,,,,,,,,,,,,,Meal 1,,,Meal 1,,,,,,,,,,,,,,,,,,Meal 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,Meal 1,True,Meal 2,True,Meal 2,True,Meal 1,True,Meal 2,False,Meal 2,True,Meal 1,False,Meal 1,True,Meal 2,True,Meal 2,True,Meal 2,True,Meal 2,False,Meal 1,True,Meal 2,True,Meal 1,False,Meal 2,True,Meal 1,True,Meal 1,True,Meal 2,True,Meal 2
